blog_url,blog_title,published,primary_yt,folder,folder_yt_ids,slide_prefix,slide_count,pdf,match_source,ready
https://blog.ichisouzo-lab.com/entry/2026/04/02/192008,片頭痛持ちが知っておくべき5つのこと ― 「我慢しない」ための知識,2026-04-02,,からだの不思議02_片頭痛,JNaIRbHVz4s|WKo1LRYDuC4|Z7ZzKnY7GyM,,0,片頭痛_スライド.pdf,title-contains-片頭痛,NEEDS_PNG
https://blog.ichisouzo-lab.com/entry/2026/04/06/071409,なぜあくびはうつるのか？ ― ミラーニューロンと共感の脳科学,2026-04-06,TNuexPK3Dxo,からだの不思議06_あくび,,,0,あくび_スライド.pdf,title-contains-あくび,NEEDS_PNG
https://blog.ichisouzo-lab.com/entry/2026/04/07/052718,寝る瞬間にビクッとなる原因｜入眠時ミオクローヌスとは何か・対処法・受診の目安,2026-04-07,9ITt6p-J7Ik,からだの不思議07_入眠時ミオクローヌス,,,0,thumbnail_slide.pdf,title-contains-入眠時ミオクローヌス,NEEDS_PNG
https://blog.ichisouzo-lab.com/entry/2026/04/09/173724,【2026年4月】医知創造ラボ 新着記事まとめ｜脳神経内科・鑑別診断・食事指導シリーズ,2026-04-09,,食事指導シリーズ,,,0,,title-contains-食事指導シリーズ,NO_ASSETS
https://blog.ichisouzo-lab.com/entry/2026/04/09/161517,低活動性せん妄 ― 「静かなせん妄」を見逃さないための実践ガイド,2026-04-09,,低活動性せん妄,,,0,低活動性せん妄.pdf,title-contains-低活動性せん妄,NEEDS_PNG
https://blog.ichisouzo-lab.com/entry/2026/04/09/135347,"デジャヴの正体を神経科学で解説 ― ""既視感""はなぜ起きるのか",2026-04-09,dVni98076r4,からだの不思議09_デジャヴ,9EWIjJPg2jk|9ITt6p-J7Ik|JNaIRbHVz4s|TNuexPK3Dxo|UJrNkbENiVw|WKo1LRYDuC4|YrVR1Iwh3rA|Z7ZzKnY7GyM|dVni98076r4,,0,thumbnail_slide.pdf,folder-yt-exact-validated,NEEDS_PNG
https://blog.ichisouzo-lab.com/entry/2026/04/10/141419,令和8年度診療報酬改定の全体像 ― +3.09%改定の内訳と医科の主要変更点を徹底解説,2026-04-10,__Xp5QYmZpw,令和8年度診療報酬改定,,slide-,10,令和8年度診療報酬改定.pdf,title-contains-令和8年度診療報酬改定,READY
https://blog.ichisouzo-lab.com/entry/2026/04/11/083220,利き手はなぜ決まるのか？ ― 脳の左右非対称と遺伝のしくみ,2026-04-11,sSF6r7Eu_hU,からだの不思議11_利き手,,slide-,10,thumbnail_slide.pdf,title-contains-利き手,READY
https://blog.ichisouzo-lab.com/entry/2026/04/13/182624,この頭痛、病院に行くべき？ ― 危険な頭痛の見分け方,2026-04-13,f6hSRaATvtw,からだの不思議13_危険な頭痛,,,0,危険な頭痛_スライド.pdf,title-contains-危険な頭痛,NEEDS_PNG
https://blog.ichisouzo-lab.com/entry/2026/04/14/200622,しびれが出たら何科？ ― 脳神経内科・整形外科・内科の使い分け,2026-04-14,_YbGFzCOk1M,その症状大丈夫10_しびれ,,,0,numbness_slides.pdf,title-contains-しびれ,NEEDS_PNG
https://blog.ichisouzo-lab.com/entry/2026/04/14/063202,お風呂で決まって意識を失う — 入浴てんかんの正体と安全対策を脳神経内科医が解説,2026-04-14,GL9Tfw8wOpQ,入浴てんかん,,slide-,9,bathing_epilepsy_slides.pdf,title-contains-入浴てんかん,READY
https://blog.ichisouzo-lab.com/entry/2026/04/15/104135,「最近つまずきやすい」は脳の問題？ ― 歩行とつまずきの原因を解剖学レベルで解説【からだの不思議 #15】,2026-04-16,,からだの不思議15_つまずき,UX_sXj_27Ts,,0,つまずき_スライド.pdf,title-contains-つまずき,NEEDS_PNG
https://blog.ichisouzo-lab.com/entry/2026/04/17/063136,高血圧の新基準（2025年）と減塩対策｜130/80mmHg時代の診療と日本人の3人に1人,2026-04-17,pNiyz5WfJ7w,高血圧,,,0,高血圧_スライド.pdf,title-contains-高血圧,NEEDS_PNG
https://blog.ichisouzo-lab.com/entry/2026/04/22/135449,脳梗塞急性期のヘパリン、結局どう使う？ 1万単位 vs APTT管理・ブリッジング不要論・HIT対応【ガイドライン202,2026-04-22,WdGXFCNDaBo,脳梗塞急性期のヘパリン,,slide-,11,脳梗塞急性期のヘパリン_スライド.pdf,title-contains-脳梗塞急性期のヘパリン,READY
https://blog.ichisouzo-lab.com/entry/2026/04/23/133800,突然手に力が入らない ― 脳？ 神経？ 筋肉？ 原因の見分け方,2026-04-23,ldXs_bJaLnc,その症状大丈夫03_力が入らない,,slide-,13,weakness_slides.pdf,title-contains-力が入らない,READY
https://blog.ichisouzo-lab.com/entry/2026/04/27/212110,「自律神経失調症」と言われたら ― 本当の原因と正しい受診先,2026-04-27,6KkLHc5jnKM,その症状大丈夫06_自律神経,,slide-,13,autonomic_nerves_slides.pdf,title-contains-自律神経,READY
https://blog.ichisouzo-lab.com/entry/2026/04/30/145740,「むせやすくなった」は老化のせい？ ― 嚥下障害の早期サインと受診の目安,2026-04-30,n1EWu3OqQ_g,その症状大丈夫08_嚥下障害,,slide-,7,dysphagia_slides.pdf,title-contains-嚥下障害,READY
https://blog.ichisouzo-lab.com/entry/2026/05/02/082220,手足がしびれる ― 受診すべき科と原因の見分け方,2026-05-02,sTazVx3Bh5E,その症状大丈夫10_しびれ,,,0,numbness_slides.pdf,title-contains-しびれ,NEEDS_PNG
https://blog.ichisouzo-lab.com/entry/2026/05/04/033758,片頭痛診療アップデート2026 — トリプタン・ジタン・ゲパント・抗CGRP抗体の使い分け完全ガイド,2026-05-04,bZXS9GON-NA,片頭痛診療アップデート2026,,,0,thumbnail.pdf,title-contains-片頭痛診療アップデート2026,NEEDS_PNG
https://blog.ichisouzo-lab.com/entry/2026/05/06/204047,頭をぶつけた後、病院に行くべき？ ― 48時間ルールと危険なサイン｜その症状、大丈夫？ #12,2026-05-06,LuNdp9GhQBE,その症状大丈夫12_頭をぶつけた,,slide-,13,head_injury_slides.pdf,series-symptom-12,READY
https://blog.ichisouzo-lab.com/entry/2026/05/07/185727,令和8年度診療報酬改定 詳細編 ─ 急性期病院A・Bの新設、救急外来医学管理料、医療DX加算で病院経営はどう変わるか,2026-05-07,,令和8年度診療報酬改定,,slide-,10,令和8年度診療報酬改定.pdf,title-contains-令和8年度診療報酬改定,READY
https://blog.ichisouzo-lab.com/entry/2026/05/07/093954,雨の日に頭が痛くなる科学的理由 ― 気象病・片頭痛のメカニズムと最新治療｜その症状、大丈夫？ #13,2026-05-07,4z3ameYH6T0,その症状大丈夫13_天気と頭痛,,slide-,13,weather_headache_slides.pdf,series-symptom-13,READY
https://blog.ichisouzo-lab.com/entry/2026/05/09/070013,味がしない・味が変わった ― コロナだけじゃない味覚障害の原因と受診の目安｜その症状、大丈夫？ #14,2026-05-09,pvcDfEEkyf4,その症状大丈夫14_味がわからない,,slide-,13,taste_disorder_slides.pdf,series-symptom-14,READY
https://blog.ichisouzo-lab.com/entry/2026/05/20/082251,認知症と運転免許 ― 家族が知っておくべき制度と説得のコツ｜その症状、大丈夫？ #19,2026-05-20,kklCC3UJaGA,その症状大丈夫19_認知症と運転,,slide-,13,dementia_driving_clicks_split.pdf,series-symptom-19,READY
https://blog.ichisouzo-lab.com/entry/2026/05/21/075558,脳ドックは受けるべき？ ― 検査の意味と結果の活かし方｜その症状、大丈夫？ #20,2026-05-21,5i671IAa8qo,その症状大丈夫20_脳ドック,,slide-,13,brain_dock_slides.pdf,series-symptom-20,READY
https://blog.ichisouzo-lab.com/entry/2026/05/20/084057,「バーナム効果」の正しい使い方 ― 日常診療と人間関係に活かす心理テクニック,2026-05-21,J0GG8ubkLl4,バーナム効果,,,0,バーナム効果_スライド.pdf,title-contains-バーナム効果,NEEDS_PNG
